"date","usd_perday_usa","thb_perday_thai","usa_bmac_price","thai_bmac_price","piece_per-day_usa","piece_per-day_thai"
"1/1/2000","46","162","2.51","55","18.326693227092","2.9454545454545"
"1/1/2001","50","165","2.54","55","18.110236220472","2.9454545454545"
"1/1/2002","54","162","2.49","55","18.473895582329","2.9454545454545"
"1/1/2003","54","169","2.9","59","15.862068965517","2.7457627118644"
"1/1/2004","54","170","3.06","59","15.032679738562","2.7457627118644"
"1/1/2005","54","181","3.15","60","14.603174603175","2.7"
"1/1/2006","54","184","3.1","60","14.838709677419","2.7"
"1/1/2007","60","191","3.22","62","14.285714285714","2.6129032258065"
"1/1/2008","64","203","3.57","62","12.885154061625","2.6129032258065"
"1/1/2009","64","206","3.57","65","12.885154061625","2.4923076923077"
"1/1/2010","64","215","3.58","70","12.849162011173","2.3142857142857"
"1/1/2011","64","300","4.06","70","11.330049261084","2.3142857142857"
"1/1/2012","64","300","4.2","78","10.952380952381","2.0769230769231"
"1/1/2013","64","300","4.4","87","10.454545454545","1.8620689655172"
"1/1/2014","72","300","4.6","96","10","1.6875"
"1/1/2015","72","300","4.8","99","9.5833333333333","1.6363636363636"
"1/1/2016","80","310","4.9","119","9.3877551020408","1.3613445378151"
"1/1/2017","84","325","5.3","119","8.6792452830189","1.3613445378151"
"1/1/2018","88","325","5.3","119","8.6792452830189","1.3613445378151"
"1/1/2019","96","331","5.58","119","8.2437275985663","1.3613445378151"
"1/1/2020","96","331","5.6","115","8.2142857142857","1.4086956521739"
"1/1/2021","104","353","5.71","128","8.0560420315236","1.265625"
